gender,race_ethnicity,first_gen,international_student,financial_aid_status,engagement_variance,sleep_schedule_drift,social_activity_decline,academic_trend,missed_class_streak,financial_stress_flag,help_seeking_flag,self_report_score,support_recommended
male,white,1,0,pell_grant,0.4305,0.15,-0.2223,-0.3431,2,1,0,61.31,1
female,white,1,0,pell_grant,0.3441,0.3395,-0.3248,-0.2576,4,1,0,77.29,1
male,pacific_islander,1,0,both,0.3096,0.3994,-0.4201,-0.4223,3,0,0,63.9,1
male,white,1,0,none,0.5309,0.621,-0.0317,-0.0911,1,0,0,90.76,0
female,white,0,1,none,0.2308,0.5209,-0.0171,0.0528,2,0,0,57.9,0
non_binary,white,1,0,pell_grant,0.2401,0.4489,-0.1195,-0.2561,3,0,0,59.36,0
male,white,0,0,pell_grant,0.6292,0.4173,-0.1062,0.2727,0,0,0,68.73,0
male,hispanic_latino,1,0,pell_grant,0.6414,0.2699,-0.3428,0.0116,4,0,0,66.14,1
female,white,0,0,none,0.0872,0.2832,-0.0703,-0.2072,3,0,0,57.52,0
female,asian,1,1,pell_grant,0.3118,0.3805,0.0,0.3179,3,0,0,71.07,0
female,black,0,0,both,0.4853,0.2414,-0.2141,0.0145,3,1,0,46.94,0
male,white,1,0,none,0.4127,0.1885,0.0,0.3799,1,0,0,64.66,0
male,asian,0,0,none,0.584,0.0877,-0.1254,0.1443,0,0,0,55.76,0
male,white,0,0,both,0.7202,0.3924,-0.0669,0.2717,2,0,1,44.95,0
female,hispanic_latino,1,0,none,0.283,0.2261,-0.1422,-0.0464,4,0,0,56.77,0
female,hispanic_latino,0,0,none,0.479,0.1491,-0.1381,0.0904,2,0,0,52.92,0
female,white,0,0,pell_grant,0.2444,0.3064,0.0,0.1682,1,0,0,77.85,0
female,white,1,0,pell_grant,0.2704,0.2875,-0.4658,0.2222,3,1,0,78.45,0
male,hispanic_latino,1,0,loans_only,0.3973,0.3126,-0.1756,-0.3004,2,0,0,59.94,0
male,hispanic_latino,1,0,pell_grant,0.6025,0.2422,-0.3282,0.2538,4,1,0,55.43,1
male,hispanic_latino,0,0,pell_grant,0.3531,0.3281,0.0,0.2749,0,0,1,58.22,0
female,white,0,1,none,0.4823,0.3345,-0.2407,0.2837,1,0,0,59.86,0
non_binary,white,1,1,loans_only,0.1973,0.6088,-0.137,-0.2363,3,0,0,48.68,0
male,native_american,0,0,pell_grant,0.3029,0.4303,-0.1924,-0.0739,2,1,0,45.92,1
male,white,1,0,both,0.4994,0.3609,-0.0131,0.2048,4,0,0,74.25,0
female,prefer_not_to_say,0,0,none,0.3358,0.1154,-0.073,-0.093,1,0,0,92.68,0
female,black,0,0,none,0.2361,0.2762,-0.1732,0.2642,3,0,1,71.14,0
female,hispanic_latino,0,0,both,0.5623,0.2255,-0.3594,0.1177,1,0,0,61.4,0
female,white,1,0,both,0.2708,0.606,-0.106,0.3185,1,0,0,79.06,0
male,asian,0,0,none,0.5618,0.5386,-0.2006,0.124,2,0,0,64.99,0
male,multiracial,1,0,both,0.362,0.2441,-0.1007,-0.1913,3,0,0,59.37,0
non_binary,black,0,0,pell_grant,0.3083,0.5503,-0.3057,-0.2354,1,1,0,62.47,1
female,black,0,0,both,0.5129,0.2855,0.0,0.0579,1,0,0,97.51,0
female,white,1,0,none,0.5017,0.237,-0.3093,-0.0663,6,1,0,61.77,1
female,white,0,0,both,0.1799,0.2952,-0.1255,0.3628,1,0,0,45.28,0
female,prefer_not_to_say,0,0,none,0.4906,0.396,-0.0454,0.0876,1,0,0,68.75,0
female,white,0,0,none,0.4427,0.6503,-0.1548,0.4105,3,0,0,68.05,0
female,white,0,0,both,0.5703,0.4412,-0.1456,0.5202,0,0,0,82.53,0
female,white,1,0,pell_grant,0.276,0.3885,-0.1069,0.1291,2,1,0,63.14,0
male,black,0,1,loans_only,0.5242,0.1987,-0.2417,-0.0298,1,0,0,58.37,0
female,black,1,0,both,0.1609,0.1364,-0.3691,0.4366,3,1,0,56.79,0
male,hispanic_latino,0,0,both,0.3147,0.6275,-0.4327,0.2343,1,0,0,52.18,0
male,white,1,0,none,0.2814,0.3211,-0.2268,0.017,3,0,0,58.89,0
female,white,0,0,none,0.1855,0.335,-0.3972,-0.3057,2,0,0,49.63,0
male,white,0,0,pell_grant,0.4731,0.243,-0.4972,-0.0511,2,1,0,55.55,1
male,native_american,1,0,none,0.6044,0.2068,0.0,0.1629,2,0,0,77.77,0
female,white,0,0,pell_grant,0.2014,0.7278,-0.07,0.1648,1,0,0,63.85,0
female,other,0,0,loans_only,0.2447,0.3068,-0.0379,0.1441,4,1,0,39.35,0
male,white,1,0,loans_only,0.5786,0.491,-0.1615,-0.2685,0,1,0,62.66,1
female,asian,1,0,both,0.2024,0.2129,-0.2228,0.3058,4,0,0,78.02,0
female,hispanic_latino,0,0,pell_grant,0.3443,0.2782,-0.2322,-0.0713,3,1,0,80.35,1
female,asian,1,0,loans_only,0.2381,0.3309,-0.2797,-0.133,5,0,0,77.88,0
male,hispanic_latino,1,0,both,0.4559,0.2753,-0.2997,-0.2225,6,1,0,54.44,1
male,black,1,0,loans_only,0.3049,0.3846,0.0,-0.4184,3,0,0,62.68,0
male,black,1,0,loans_only,0.5006,0.181,-0.1419,0.2923,5,1,0,73.98,0
male,white,0,0,both,0.3426,0.1916,0.0,0.1697,3,0,0,49.09,0
female,multiracial,1,0,none,0.6596,0.1954,0.0,-0.1777,6,1,0,63.03,1
male,hispanic_latino,0,0,loans_only,0.2668,0.347,0.0,-0.1207,8,1,0,64.29,1
female,white,0,0,both,0.2359,0.1541,0.0,0.4797,2,0,0,87.01,0
female,white,0,0,both,0.407,0.5505,-0.2789,-0.2676,1,0,0,58.13,0
male,hispanic_latino,0,0,none,0.3148,0.166,0.0,0.2057,0,0,0,70.81,0
female,asian,0,0,both,0.2932,0.4433,-0.3668,0.2211,3,1,0,49.36,0
male,black,0,0,loans_only,0.4337,0.5495,-0.0708,0.2866,2,0,0,58.09,0
male,white,1,0,pell_grant,0.5342,0.4469,-0.1648,-0.296,3,0,0,64.82,0
male,hispanic_latino,1,0,none,0.2691,0.2797,-0.2433,0.4141,1,0,0,65.74,0
female,white,0,0,none,0.3436,0.1884,0.0,0.4518,1,0,0,83.35,0
female,white,1,0,none,0.3138,0.1864,0.0,-0.3122,2,0,0,81.17,0
female,asian,1,0,pell_grant,0.2185,0.3528,-0.2977,0.2713,3,1,1,65.09,0
female,white,0,0,both,0.3729,0.2636,-0.2821,0.2291,0,0,0,59.45,0
female,white,0,1,both,0.5683,0.1653,-0.4151,-0.3088,2,1,0,58.83,1
female,white,1,0,none,0.4146,0.2835,0.0,0.1047,2,0,0,65.5,0
female,white,0,1,none,0.4708,0.0959,-0.1944,-0.1219,1,0,0,70.13,0
male,white,0,0,both,0.6312,0.3976,-0.3012,-0.1424,4,1,1,69.38,1
female,white,0,0,pell_grant,0.5895,0.4003,-0.2282,-0.0845,3,1,0,44.74,1
female,white,1,0,pell_grant,0.2057,0.1629,-0.0739,-0.5362,4,1,1,71.66,0
female,multiracial,0,0,none,0.2024,0.1423,-0.1089,-0.0579,3,0,0,96.33,0
female,white,1,1,none,0.2697,0.2846,-0.3642,0.1531,6,0,0,51.5,0
male,asian,0,0,pell_grant,0.6354,0.5025,-0.4086,-0.0977,1,1,0,70.31,1
female,hispanic_latino,0,0,both,0.5741,0.2422,0.0,0.1438,1,1,0,55.52,0
male,white,1,0,pell_grant,0.3903,0.1871,-0.2223,-0.5465,3,1,0,55.53,1
male,white,0,0,loans_only,0.217,0.2321,-0.1594,-0.1376,4,0,1,67.08,0
female,white,1,0,both,0.6153,0.6141,0.0,0.0042,2,1,0,54.67,0
male,black,0,0,none,0.3408,0.3971,-0.0565,0.0118,2,1,0,47.5,0
female,black,1,0,none,0.4028,0.2252,0.0,0.0424,2,0,0,55.19,0
female,white,0,0,none,0.2847,0.3011,-0.0471,0.1521,0,0,0,76.82,0
female,white,0,0,none,0.1644,0.3929,-0.1507,0.2686,1,0,0,71.39,0
male,white,1,0,loans_only,0.3371,0.5673,-0.2883,0.0146,2,0,0,52.97,0
female,hispanic_latino,1,0,loans_only,0.2679,0.2405,-0.1878,-0.255,4,0,0,57.95,0
female,white,1,0,none,0.206,0.279,-0.2895,0.242,4,0,0,62.09,0
female,hispanic_latino,0,0,none,0.6189,0.2013,0.0,0.3131,0,0,0,69.39,0
female,hispanic_latino,0,0,none,0.4658,0.4694,-0.0921,0.0507,4,1,0,69.3,1
male,hispanic_latino,0,0,loans_only,0.6698,0.4913,-0.2798,-0.0368,1,1,0,69.54,1
female,white,0,0,pell_grant,0.1909,0.1843,0.0,0.2738,2,0,1,57.93,0
female,white,1,0,none,0.1619,0.3399,-0.2954,0.2948,2,0,1,72.94,0
female,white,1,0,pell_grant,0.3081,0.4991,-0.2212,-0.505,1,1,0,51.46,1
male,asian,0,0,none,0.1832,0.2176,-0.364,-0.0629,1,0,0,67.87,0
female,white,0,0,pell_grant,0.4813,0.4938,0.0,0.2239,1,0,1,56.18,0
female,white,0,0,loans_only,0.638,0.2362,-0.3934,-0.3311,0,0,0,62.07,0
female,white,0,0,none,0.3643,0.6728,-0.198,0.5065,2,1,0,66.84,0
non_binary,hispanic_latino,1,0,pell_grant,0.1796,0.4049,-0.3074,0.3042,2,1,0,56.87,0
male,hispanic_latino,0,1,loans_only,0.4703,0.2433,-0.0255,-0.248,2,1,1,70.58,0
male,black,0,0,loans_only,0.2132,0.3865,-0.0921,0.3273,0,0,0,64.82,0
female,hispanic_latino,0,1,loans_only,0.3064,0.4571,-0.395,-0.241,1,0,0,85.6,0
non_binary,asian,0,0,none,0.7496,0.3129,-0.0836,0.0574,6,0,0,75.12,1
male,asian,0,0,loans_only,0.4345,0.2904,-0.2379,0.1718,1,0,0,70.92,0
male,white,0,0,pell_grant,0.3519,0.3336,-0.4652,0.2212,1,0,0,62.08,0
female,white,0,0,none,0.1854,0.2035,-0.4166,-0.0876,2,0,0,69.83,1
